./pdq -z 0.9 -s 0.1 -v 1 10 1
General closed solution from PDQ where serviceTime = 0.1 centers = 1 think time = 0.9 dmax = 0
Load	Throughput	Utilization	QueueLen	Residence	Response
1	1.000000	0.100000	0.100000	0.100000	0.100000
2	1.980198	0.198020	0.217822	0.110000	0.110000
3	2.936047	0.293605	0.357558	0.121782	0.121782
4	3.861914	0.386191	0.524277	0.135756	0.135756
5	4.750920	0.475092	0.724172	0.152428	0.152428
6	5.594838	0.559484	0.964646	0.172417	0.172417
7	6.384155	0.638415	1.254261	0.196465	0.196465
8	7.108419	0.710842	1.602423	0.225426	0.225426
9	7.757000	0.775700	2.018700	0.260242	0.260242
10	8.320368	0.832037	2.511669	0.301870	0.301870
#./pdq -z 0.9 -s 0.1 -d 0.09 -v 1 10 1
./pdq -c 2 -z 0.9 -s 0.1 -d 0.09 -v 1 10 1
General closed solution from PDQ where serviceTime = 0.1 centers = 2 think time = 0.9 dmax = 0.045
Load	Throughput	Utilization	QueueLen	Residence	Response
1	1.000000	0.045000	0.045000	0.045000	0.100000
2	1.993745	0.089719	0.093756	0.047025	0.103137
3	2.980672	0.134130	0.146706	0.049219	0.106484
4	3.960152	0.178207	0.204351	0.051602	0.110062
5	4.931478	0.221917	0.267265	0.054196	0.113895
6	5.893855	0.265223	0.336109	0.057027	0.118009
7	6.846385	0.308087	0.411638	0.060125	0.122437
8	7.788058	0.350463	0.494726	0.063524	0.127214
9	8.717730	0.392298	0.586378	0.067263	0.132379
10	9.634109	0.433535	0.687750	0.071387	0.137979
